Població de fet per municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDTaula,306,,,"1497,1515 i 1553  es refereix a focs",,,,,,,,,,,,,,,,,,,,,,,,,
Font,Censos i padrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Àmbit,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escala,Municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Període,1497-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,Nom,Classificació,Descripció,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincia,ProvinciaCat,Província,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comarca,Comarca41,comarca,,,,,,,,,,,,,,,,,,,,,,,,,,
,Municipi,MunicipiCatHist,Municipi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any,Any1497-91,Any,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dades,A19:E23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIA,COMARCA,MUNICIPI,ANY,POBLACIÓ,,,,,,,,,,,,,,,,,,,,,,,,,
08,11,08001,1497,13,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1515,18,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1553,18,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1717,136,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1787,225,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1857,706,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1860,769,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1877,863,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1887,944,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1900,848,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1910,759,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1920,810,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1930,818,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1936,830,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1940,816,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1945,815,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1950,667,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1955,735,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1960,715,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1965,805,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1970,1645,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1975,2850,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1981,4199,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1986,4354,,,,,,,,,,,,,,,,,,,,,,,,,1
08,11,08001,1991,5448,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08002,1497,15,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08002,1515,16,,,,,,,,,,,,,,,,,,,,,,,,,1
08,7,08002,1553,27,,,,,,,,,,,,,,,,,,,,,,,,,1
